time,open,high,low,close,EMA,Smoothing Line,Volume,Volume MA
2017-01-02T18:00:00-05:00,4876.75,4892.5,4876.75,4881.5,NaN,NaN,4779,NaN
2017-01-02T20:00:00-05:00,4881.5,4890.5,4878,4888.5,NaN,NaN,1877,NaN
2017-01-02T22:00:00-05:00,4888.75,4891.25,4887,4890.75,NaN,NaN,889,NaN
2017-01-03T00:00:00-05:00,4891,4897.5,4890.5,4895.25,NaN,NaN,1902,NaN
2017-01-03T02:00:00-05:00,4895.25,4906.25,4894.75,4905,NaN,NaN,5357,NaN
2017-01-03T04:00:00-05:00,4904.75,4905,4893.25,4896.25,NaN,NaN,3789,NaN
2017-01-03T06:00:00-05:00,4896.25,4908,4895.75,4904.75,NaN,NaN,3885,NaN
2017-01-03T08:00:00-05:00,4904.25,4908,4885.75,4904.25,NaN,NaN,39196,NaN
2017-01-03T10:00:00-05:00,4904,4927.5,4881,4891.5,NaN,NaN,76715,NaN
2017-01-03T12:00:00-05:00,4891.5,4894,4881,4882,NaN,NaN,29190,NaN
2017-01-03T14:00:00-05:00,4882,4907.75,4881,4907.5,NaN,NaN,39277,NaN
2017-01-03T16:00:00-05:00,4907.5,4910,4905.25,4905.5,NaN,NaN,8412,NaN
2017-01-03T18:00:00-05:00,4906.5,4909.5,4903,4908.25,NaN,NaN,1853,NaN
2017-01-03T20:00:00-05:00,4908,4914.25,4907.25,4912.5,NaN,NaN,1501,NaN
2017-01-03T22:00:00-05:00,4912.75,4917,4911.5,4916.5,NaN,NaN,1387,NaN
2017-01-04T00:00:00-05:00,4916.5,4917.75,4913.5,4914.75,NaN,NaN,925,NaN
2017-01-04T02:00:00-05:00,4915,4916.25,4910.75,4912,NaN,NaN,2214,NaN
2017-01-04T04:00:00-05:00,4912,4916.25,4911.25,4911.75,4901.583333333333,NaN,1939,NaN
2017-01-04T06:00:00-05:00,4912,4915,4909.5,4914.25,4902.916666666666,NaN,1877,NaN
2017-01-04T08:00:00-05:00,4914.5,4933.75,4911.25,4924,4905.1359649122805,NaN,38781,13287.25
2017-01-04T10:00:00-05:00,4924,4935.25,4916.75,4933.25,4908.095337026777,NaN,44993,15297.95
2017-01-04T12:00:00-05:00,4933.5,4936,4928.5,4931.75,4910.585301550274,4905.663320697866,20023,16205.25
2017-01-04T14:00:00-05:00,4932,4942.5,4929,4933.75,4913.023690860772,4907.951392203354,46736,18497.6
2017-01-04T16:00:00-05:00,4933.5,4935,4930,4933.5,4915.179091822796,4910.403877234579,5905,18697.75
2017-01-04T18:00:00-05:00,4934.75,4936.5,4927.75,4928.75,4916.607608473028,4912.69820594673,2344,18547.1
2017-01-04T20:00:00-05:00,4928.5,4931,4927.75,4929,4917.912070739026,4914.661552689179,1380,18426.65
2017-01-04T22:00:00-05:00,4929,4931.5,4928,4929.25,4919.105536977023,4916.365599774529,787,18271.75
2017-01-05T00:00:00-05:00,4929.75,4932.75,4926,4926.25,4919.857585716283,4917.732378745632,1353,16379.6
2017-01-05T02:00:00-05:00,4926.25,4930.5,4921.5,4925.25,4920.425208272464,4918.781602035565,3169,12702.3
2017-01-05T04:00:00-05:00,4925.75,4933.25,4924.5,4931,4921.538344243784,4919.767749189717,2339,11359.75
2017-01-05T06:00:00-05:00,4931,4931.5,4920.5,4921.5,4921.534308007596,4920.49219664343,3150,9553.4
2017-01-05T08:00:00-05:00,4921.5,4957.25,4921.25,4951.5,4924.688591375218,4921.60880752307,34627,10864.15
2017-01-05T10:00:00-05:00,4952.25,4958.5,4939.25,4947.75,4927.116108072563,4923.060511994326,54357,13489.35
2017-01-05T12:00:00-05:00,4948,4955.75,4945,4951.75,4929.709149328083,4924.9173002054495,22774,14553
2017-01-05T14:00:00-05:00,4951.5,4964.25,4951.25,4960.25,4932.923975714601,4927.194426499613,33362,16151.75
2017-01-05T16:00:00-05:00,4960.5,4963.25,4958.75,4963,4936.089873007801,4930.105539499654,6111,16411.05
2017-01-05T18:00:00-05:00,4962.5,4963.25,4959,4962,4938.817254796453,4932.9312721839015,1683,16384.5
2017-01-05T20:00:00-05:00,4961.75,4964.25,4961,4963.5,4941.415438502089,4935.791138269806,790,16327.05
2017-01-05T22:00:00-05:00,4963.5,4963.5,4961.5,4961.5,4943.529602870291,4938.555228978248,591,16262.75
2017-01-06T00:00:00-05:00,4962,4963,4960.75,4962.75,4945.552802568155,4941.0809943489585,866,14367
2017-01-06T02:00:00-05:00,4962.25,4962.25,4958.25,4961,4947.178823350455,4943.2987844174895,2225,12228.6
2017-01-06T04:00:00-05:00,4961,4963.75,4960.25,4962.25,4948.765262997776,4945.288386057754,1136,11284.25
2017-01-06T06:00:00-05:00,4962.5,4966.25,4961,4961.25,4950.079445840115,4947.021187525359,1920,9043.45
2017-01-06T08:00:00-05:00,4961.5,4978,4952.5,4977,4952.913188383261,4948.897904627953,44066,10951.5
2017-01-06T10:00:00-05:00,4977.25,5002.5,4970.5,5001,4957.974958027128,4951.382335719748,59794,13824
2017-01-06T12:00:00-05:00,5001.25,5013.75,4999.75,5010.25,4963.477594024273,4954.642089854511,29438,15226.9
2017-01-06T14:00:00-05:00,5010.5,5017.5,5002,5003.5,4967.690478863823,4958.427133027721,34998,16937.45
2017-01-06T16:00:00-05:00,5003.5,5007.75,5002.5,5004.75,4971.591481088683,4962.729540077435,5191,17129.35
2017-01-08T18:00:00-05:00,5004.5,5011.75,5002.5,5010.5,4975.687114658295,4967.284325332442,2095,17075.65
2017-01-08T20:00:00-05:00,5010.75,5013.75,5008.25,5012,4979.509523641633,4971.591238455343,1207,17019.05
2017-01-08T22:00:00-05:00,5012.25,5013.5,5011.75,5013.25,4983.061152731987,4975.507950196887,734,16898.25
2017-01-09T00:00:00-05:00,5013.25,5016.75,5012.5,5015.5,4986.475768233883,4979.265008070898,1187,15226.25
2017-01-09T02:00:00-05:00,5015.5,5017,5009,5009.25,4988.873055788211,4982.721323010805,3030,12659.9
2017-01-09T04:00:00-05:00,5009.5,5010.25,5005.75,5006.5,4990.728523599978,4985.72960479914,2446,11643.5
2017-01-09T06:00:00-05:00,5006.5,5007.25,5003,5007,4992.441310589454,4988.315962188704,3880,10169.4
2017-01-09T08:00:00-05:00,5006.75,5019.5,5004,5015.25,4994.842225264248,4990.672176695157,35171,11622.4
2017-01-09T10:00:00-05:00,5015.25,5023.25,5004.75,5018.75,4997.358833131169,4992.848789674614,46163,13846.4
2017-01-09T12:00:00-05:00,5019.25,5026.5,5016.5,5022.75,5000.031587538415,4995.080496024655,17386,14676.2
2017-01-09T14:00:00-05:00,5022.75,5029.5,5015.25,5020.75,5002.212473060687,4997.377285916797,26364,15964.85
2017-01-09T16:00:00-05:00,5020.75,5023.75,5019.25,5020.75,5004.163791685878,4999.721782136081,5014,16172.25
2017-01-09T18:00:00-05:00,5022,5025,5015.5,5015.5,5005.3570767715755,5001.8247524375465,2520,16187
2017-01-09T20:00:00-05:00,5015.5,5020,5013.75,5018,5006.68791079562,5003.690567970438,1418,16201.1
2017-01-09T22:00:00-05:00,5018,5018.25,5007.25,5010.75,5007.115499132923,5005.10735028934,2828,16246.5
2017-01-10T00:00:00-05:00,5010.75,5016.5,5009.25,5016,5008.050709750511,5006.2749976273035,1525,14119.45
2017-01-10T02:00:00-05:00,5016.5,5024,5015.25,5019.25,5009.229582408351,5007.288155771798,2664,11262.95
2017-01-10T04:00:00-05:00,5019.25,5026,5019.25,5025.25,5010.91594215484,5008.399928848451,2271,9904.6
